漢字	画数	漢検級	メモ	ペア1_部品1	ペア1_部品2	ペア2_部品1	ペア2_部品2	ペア3_部品1	ペア3_部品2
沙	7	2級		水	少				
二	2	10級		一	一				
王	4	10級		十	二	一	土	工	一
三	3	10級		二	一	一	二		
一	1	10級							
力	2	10級							
八	2	10級							
入	2	10級							
人	2	10級							
十	2	10級							
七	2	10級							
九	2	10級							
川	3	10級							
山	3	10級							
子	3	10級							
小	3	10級							
土	3	10級		十	一				
女	3	10級							
上	3	10級							
大	3	10級		一	人				
夕	3	10級							
千	3	10級							
口	3	10級							
下	3	10級							
木	4	10級							
月	4	10級							
文	4	10級							
火	4	10級							
水	4	10級							
天	4	10級		一	大	二	人		
六	4	10級							
中	4	10級							
手	4	10級							
五	4	10級							
日	4	10級		口	一				
犬	4	10級							
円	4	10級							
石	5	10級							
玉	5	10級							
立	5	10級							
左	5	10級							
本	5	10級		木	一				
目	5	10級		日	一	口	二		
右	5	10級							
生	5	10級	？	牛	一				
四	5	10級							
田	5	10級		口	十				
白	5	10級							
正	5	10級		一	止				
出	5	10級	？	山	山				
竹	6	10級							
虫	6	10級							
年	6	10級							
百	6	10級		一	白				
字	6	10級							
糸	6	10級							
休	6	10級		人	木				
名	6	10級		夕	口				
先	6	10級							
早	6	10級		日	十				
気	6	10級							
耳	6	10級							
赤	7	10級							
見	7	10級							
村	7	10級		木	寸				
貝	7	10級		目	八	只	二		
車	7	10級		旦	十	申	二		
足	7	10級		口	止				
男	7	10級		田	力				
町	7	10級		田	丁				
花	7	10級							
林	8	10級		木	木				
学	8	10級							
空	8	10級		穴	工				
青	8	10級							
雨	8	10級							
金	8	10級							
音	9	10級		立	日				
草	9	10級							
校	10	10級		木	交				
森	12	10級		木	林				
引	4	9級							
羽	6	9級							
雲	12	9級		雨	云				
園	13	9級							
遠	13	9級							
何	7	9級		人	可				
科	9	9級		禾	斗				
夏	10	9級							
家	10	9級							
歌	14	9級		哥	欠				
画	8	9級							
回	6	9級		口	口				
会	6	9級		人	云				
海	9	9級		水	毎				
絵	12	9級		糸	会				
外	5	9級		夕	卜				
角	7	9級							
楽	13	9級							
活	9	9級		水	舌				
間	12	9級		門	日				
丸	3	9級							
岩	8	9級		山	石				
顔	18	9級							
汽	7	9級							
記	10	9級		言	己				
帰	10	9級							
弓	3	9級							
牛	4	9級							
魚	11	9級							
京	8	9級							
強	11	9級		弘	虫				
教	11	9級							
近	7	9級							
兄	5	9級							
形	7	9級							
計	9	9級		言	十				
元	4	9級							
言	7	9級							
原	10	9級							
戸	4	9級							
古	5	9級		十	口				
午	4	9級							
後	9	9級							
語	14	9級		言	吾				
工	3	9級							
公	4	9級							
広	5	9級							
交	6	9級							
光	6	9級							
考	6	9級							
行	6	9級							
高	10	9級							
黄	11	9級							
合	6	9級							
谷	7	9級							
国	8	9級		口	玉				
黒	11	9級		里	火				
今	4	9級							
才	3	9級							
細	11	9級		糸	田				
作	7	9級							
算	14	9級							
止	4	9級							
市	5	9級							
矢	5	9級							
姉	8	9級		女	市				
思	9	9級		田	心				
紙	10	9級		糸	氏				
寺	6	9級		土	寸				
自	6	9級		白	一				
時	10	9級		白	寺				
室	9	9級							
社	7	9級		示	土				
弱	10	9級							
首	9	9級							
秋	9	9級		禾	火				
週	11	9級							
春	9	9級							
書	10	9級							
少	4	9級							
場	12	9級		土	昜				
色	6	9級							
食	9	9級							
心	4	9級							
新	13	9級							
親	16	9級							
図	7	9級							
数	13	9級							
西	6	9級							
声	7	9級							
星	9	9級		日	生				
晴	12	9級		日	青				
切	4	9級		七	刀				
雪	11	9級							
船	11	9級							
線	15	9級		糸	泉				
前	9	9級							
組	11	9級		糸	且				
走	7	9級							
多	6	9級		夕	夕				
太	4	9級							
体	7	9級		人	本				
台	5	9級							
地	6	9級		土	也				
池	6	9級		水	也				
知	8	9級		矢	口				
茶	9	9級							
昼	9	9級							
長	8	9級							
鳥	11	9級		烏	一				
朝	12	9級							
直	8	9級							
通	10	9級							
弟	7	9級							
店	8	9級							
点	9	9級		占	火				
電	13	9級							
刀	2	9級							
冬	5	9級							
当	6	9級							
東	8	9級		束	一				
答	12	9級		竹	合				
頭	16	9級		豆	頁				
同	6	9級							
道	12	9級							
読	14	9級		言	売				
内	4	9級							
南	9	9級							
肉	6	9級		内	人				
馬	10	9級							
売	7	9級							
買	12	9級		目	貝				
麦	7	9級							
半	5	9級							
番	12	9級							
父	4	9級							
風	9	9級							
分	4	9級		八	刀				
聞	14	9級		門	耳				
米	6	9級							
歩	8	9級		止	少				
母	5	9級							
方	4	9級							
北	5	9級							
毎	6	9級							
妹	8	9級		女	未				
万	3	9級							
明	8	9級		日	月				
鳴	14	9級		口	鳥				
毛	4	9級							
門	8	9級							
夜	8	9級							
野	11	9級							
友	4	9級		又	又				
用	5	9級							
曜	18	9級							
来	7	9級		米	一				
里	7	9級		田	土				
理	11	9級		王	里				
話	13	9級		言	舌				
悪	11	8級							
安	6	8級							
暗	13	8級		日	音				
医	7	8級							
委	8	8級		禾	女				
意	13	8級		音	心				
育	8	8級							
員	10	8級		口	貝				
院	10	8級							
飲	12	8級		食	欠				
運	12	8級							
泳	8	8級		水	永				
駅	14	8級		馬	尺				
央	5	8級							
横	15	8級		木	黄				
屋	9	8級							
温	12	8級							
化	4	8級							
荷	10	8級							
界	9	8級		田	介				
開	12	8級							
階	12	8級							
寒	12	8級							
感	13	8級							
漢	13	8級							
館	16	8級		食	官				
岸	8	8級							
起	10	8級		走	己				
期	12	8級		其	月				
客	9	8級							
究	7	8級		穴	九				
急	9	8級							
級	9	8級		糸	及				
宮	10	8級							
球	11	8級		王	求				
去	5	8級							
橋	16	8級							
業	13	8級							
曲	6	8級							
局	7	8級							
銀	14	8級							
区	4	8級		匸	品				
苦	8	8級							
具	8	8級							
君	7	8級							
係	9	8級		人	系				
軽	12	8級							
血	6	8級							
決	7	8級							
研	9	8級							
県	9	8級							
庫	10	8級							
湖	12	8級		水	胡				
向	6	8級							
幸	8	8級							
港	12	8級							
号	5	8級							
根	10	8級							
祭	11	8級							
皿	5	8級							
仕	5	8級		人	士				
死	6	8級							
使	8	8級							
始	8	8級		女	台				
指	9	8級		手	旨				
歯	12	8級							
詩	13	8級		言	寺				
